year,ej,type
1800,0.35000028,smil
1801,0.361000289,smil
1802,0.372000298,smil
1803,0.383000306,smil
1804,0.394000315,smil
1805,0.405000324,smil
1806,0.416000333,smil
1807,0.427000342,smil
1808,0.43800035,smil
1809,0.449000359,smil
1810,0.460000368,smil
1811,0.469000375,smil
1812,0.478000382,smil
1813,0.48700039,smil
1814,0.496000397,smil
1815,0.505000404,smil
1816,0.514000411,smil
1817,0.523000418,smil
1818,0.532000426,smil
1819,0.541000433,smil
1820,0.55000044,smil
1821,0.590000472,smil
1822,0.630000504,smil
1823,0.670000536,smil
1824,0.710000568,smil
1825,0.7500006,smil
1826,0.790000632,smil
1827,0.830000664,smil
1828,0.870000696,smil
1829,0.910000728,smil
1830,0.95000076,smil
1831,0.983000786,smil
1832,1.016000813,smil
1833,1.049000839,smil
1834,1.082000866,smil
1835,1.115000892,smil
1836,1.148000918,smil
1837,1.181000945,smil
1838,1.214000971,smil
1839,1.247000998,smil
1840,1.280001024,smil
1841,1.357001086,smil
1842,1.434001147,smil
1843,1.511001209,smil
1844,1.58800127,smil
1845,1.665001332,smil
1846,1.742001394,smil
1847,1.819001455,smil
1848,1.896001517,smil
1849,1.973001578,smil
1850,2.05000164,smil
1851,2.227001782,smil
1852,2.404001923,smil
1853,2.581002065,smil
1854,2.758002206,smil
1855,2.935002348,smil
1856,3.11200249,smil
1857,3.289002631,smil
1858,3.466002773,smil
1859,3.643002914,smil
1860,3.820003056,smil
1861,4.029003223,smil
1862,4.23800339,smil
1863,4.447003558,smil
1864,4.656003725,smil
1865,4.865003892,smil
1866,5.074004059,smil
1867,5.283004226,smil
1868,5.492004394,smil
1869,5.701004561,smil
1870,5.910004728,smil
1871,6.234004987,smil
1872,6.558005246,smil
1873,6.882005506,smil
1874,7.206005765,smil
1875,7.530006024,smil
1876,7.854006283,smil
1877,8.178006542,smil
1878,8.502006802,smil
1879,8.826007061,smil
1880,9.15000732,smil
1881,9.623007698,smil
1882,10.09600808,smil
1883,10.56900846,smil
1884,11.04200883,smil
1885,11.51500921,smil
1886,11.98800959,smil
1887,12.46100997,smil
1888,12.93401035,smil
1889,13.40701073,smil
1890,13.8800111,smil
1891,14.55401164,smil
1892,15.22801218,smil
1893,15.90201272,smil
1894,16.57601326,smil
1895,17.2500138,smil
1896,17.92401434,smil
1897,18.59801488,smil
1898,19.27201542,smil
1899,19.94601596,smil
1900,20.6200165,smil
1901,21.67401734,smil
1902,22.72801818,smil
1903,23.78201903,smil
1904,24.83601987,smil
1905,25.89002071,smil
1906,26.94402156,smil
1907,27.9980224,smil
1908,29.05202324,smil
1909,30.10602408,smil
1910,31.16002493,smil
1911,31.58402527,smil
1912,32.00802561,smil
1913,32.43202595,smil
1914,32.85602628,smil
1915,33.28002662,smil
1916,33.70402696,smil
1917,34.1280273,smil
1918,34.55202764,smil
1919,34.97602798,smil
1920,35.40002832,smil
1921,35.5050284,smil
1922,35.61002849,smil
1923,35.71502857,smil
1924,35.82002866,smil
1925,35.92502874,smil
1926,36.03002882,smil
1927,36.13502891,smil
1928,36.24002899,smil
1929,36.34502908,smil
