date,price
02-Apr-95,50
03-Apr-95,50
04-Apr-95,50
05-Apr-95,50
10-Apr-95,50
11-Apr-95,50
12-Apr-95,50
13-Apr-95,50
16-Apr-95,50
17-Apr-95,50
18-Apr-95,50
19-Apr-95,50
20-Apr-95,50
23-Apr-95,50
24-Apr-95,50
25-Apr-95,50
26-Apr-95,50
27-Apr-95,50
30-Apr-95,50
01-May-95,50
02-May-95,50
03-May-95,50
04-May-95,50
08-May-95,50
09-May-95,50
10-May-95,50
11-May-95,50
14-May-95,50
15-May-95,50
16-May-95,50
17-May-95,50
18-May-95,50
21-May-95,50
22-May-95,50
23-May-95,50
24-May-95,50
25-May-95,50
29-May-95,50
30-May-95,50
31-May-95,50
01-Jun-95,50
04-Jun-95,50
05-Jun-95,50
06-Jun-95,50
07-Jun-95,50
08-Jun-95,50
11-Jun-95,50
12-Jun-95,50
13-Jun-95,50
14-Jun-95,50
15-Jun-95,50
18-Jun-95,50
19-Jun-95,50
20-Jun-95,50
21-Jun-95,50
22-Jun-95,50
25-Jun-95,50
26-Jun-95,50
27-Jun-95,50
28-Jun-95,50
29-Jun-95,50
30-Jun-95,50
02-Jul-95,50
03-Jul-95,50
04-Jul-95,50
05-Jul-95,50
06-Jul-95,50
09-Jul-95,50
10-Jul-95,50
11-Jul-95,50
12-Jul-95,50
13-Jul-95,50
16-Jul-95,50
17-Jul-95,50
18-Jul-95,50
19-Jul-95,50
20-Jul-95,50
23-Jul-95,50
24-Jul-95,50
25-Jul-95,50
26-Jul-95,50
27-Jul-95,50
30-Jul-95,50
31-Jul-95,50
01-Aug-95,50
02-Aug-95,50
03-Aug-95,50
06-Aug-95,50
07-Aug-95,50
08-Aug-95,50
09-Aug-95,50
10-Aug-95,50
13-Aug-95,50
14-Aug-95,50
15-Aug-95,50
16-Aug-95,50
17-Aug-95,50
20-Aug-95,50
21-Aug-95,50
22-Aug-95,50
23-Aug-95,50
24-Aug-95,50
28-Aug-95,50
29-Aug-95,50
30-Aug-95,50
31-Aug-95,50
03-Sep-95,50
04-Sep-95,50
05-Sep-95,50
06-Sep-95,50
07-Sep-95,50
10-Sep-95,50
11-Sep-95,50
12-Sep-95,50
13-Sep-95,50
14-Sep-95,50
17-Sep-95,50
18-Sep-95,50
19-Sep-95,50
20-Sep-95,50
21-Sep-95,50
24-Sep-95,50
25-Sep-95,50
26-Sep-95,50
27-Sep-95,50
28-Sep-95,50
30-Sep-95,50
01-Oct-95,50
02-Oct-95,50
03-Oct-95,50
04-Oct-95,50
05-Oct-95,50
08-Oct-95,50
09-Oct-95,50
10-Oct-95,50
11-Oct-95,50
12-Oct-95,50
15-Oct-95,50
16-Oct-95,50
17-Oct-95,50
18-Oct-95,50
19-Oct-95,50
22-Oct-95,50
23-Oct-95,50
24-Oct-95,50
25-Oct-95,50
26-Oct-95,50
29-Oct-95,50
30-Oct-95,50
31-Oct-95,50
01-Nov-95,50
02-Nov-95,50
05-Nov-95,50
06-Nov-95,50
07-Nov-95,50
08-Nov-95,50
09-Nov-95,50
12-Nov-95,50
13-Nov-95,50
14-Nov-95,50
15-Nov-95,50
16-Nov-95,50
19-Nov-95,50
20-Nov-95,50
21-Nov-95,50
22-Nov-95,50
23-Nov-95,50
26-Nov-95,50
27-Nov-95,50
28-Nov-95,50
29-Nov-95,50
30-Nov-95,50
03-Dec-95,50
04-Dec-95,50
05-Dec-95,50
06-Dec-95,50
07-Dec-95,50
10-Dec-95,50
11-Dec-95,50
12-Dec-95,50
13-Dec-95,50
14-Dec-95,50
17-Dec-95,50
18-Dec-95,50
19-Dec-95,50
20-Dec-95,50
21-Dec-95,50
27-Dec-95,50
28-Dec-95,50
31-Dec-95,50
02-Jan-96,50
03-Jan-96,50
04-Jan-96,50
07-Jan-96,50
08-Jan-96,50
09-Jan-96,50
10-Jan-96,50
11-Jan-96,50
14-Jan-96,50
15-Jan-96,50
16-Jan-96,50
17-Jan-96,50
18-Jan-96,50
21-Jan-96,50
22-Jan-96,50
23-Jan-96,50
24-Jan-96,50
25-Jan-96,50
28-Jan-96,50
29-Jan-96,50
30-Jan-96,50
31-Jan-96,50
01-Feb-96,50
04-Feb-96,50
05-Feb-96,50
